Timestamp,ReportingGroup,LocationName,Value,Unit
11/17/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
11/18/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,46,kWh
11/19/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,48,kWh
11/20/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,43,kWh
11/21/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,63,kWh
11/22/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,74,kWh
11/23/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,77,kWh
11/24/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,1,kWh
11/25/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,49,kWh
11/26/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,57,kWh
11/27/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,50,kWh
11/28/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,51,kWh
11/29/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,57,kWh
11/30/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,111,kWh
12/01/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,53,kWh
12/02/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,46,kWh
12/03/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,77,kWh
12/04/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,61,kWh
12/05/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,64,kWh
12/06/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,2,kWh
12/07/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,62,kWh
12/08/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,2,kWh
12/09/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,47,kWh
12/10/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,65,kWh
12/11/2019 00:00:00,Electricity,1000 Hakaniemen kauppahalli,78,kWh
